n,alpha,seed,mean_penalty,seconds
1,0.8,1,-8.3,20.30058496259153
1,0.7,1,-7.56,20.380949711427093
1,0.8,0,-8.32,20.47302529029548
1,0.7,0,-7.86,20.5522477356717
1,0.8,2,-8.08,20.69712335150689
1,0.7,2,-7.46,20.97392029222101
1,0.6,2,-8.78,21.411768649704754
1,0.6,1,-7.64,21.49101495463401
1,0.6,0,-8.24,21.78458640538156
1,0.5,1,-9.42,22.429608746431768
1,0.5,0,-9.22,22.446339794434607
1,0.5,2,-10.42,22.561028193682432
1,0.4,2,-17.54,23.172632172703743
1,0.4,1,-13.56,23.40256447251886
1,0.4,0,-14.88,23.649806235916913
1,0.3,2,-20.56,25.012130303308368
1,0.3,1,-12.06,25.12099739536643
1,0.3,0,-20.16,25.267480488866568
1,0.2,1,-22.92,27.35436074528843
1,0.2,0,-20.0,27.750881526619196
1,0.2,2,-24.3,28.31738213263452
1,0.1,0,-31.92,30.769148325547576
1,0.1,1,-29.92,31.26242372673005
1,0.1,2,-36.82,31.933933614753187
1,0.9,1,-6.94,19.096457328647375
1,0.9,0,-9.74,19.482718111015856
1,1.0,1,-10.34,19.124481703154743
1,1.0,0,-15.0,19.30204209405929
1,0.9,2,-9.46,19.559565248899162
1,1.0,2,-8.78,19.770519857294858
2,0.4,0,-6.5,28.997574149630964
2,0.4,1,-5.7,29.15075401030481
2,0.3,0,-5.38,31.25650131702423
2,0.5,1,-10.2,27.03158001974225
2,0.3,1,-7.18,31.46288342960179
2,0.4,2,-5.0,29.76407270785421
2,0.5,0,-6.28,27.956872711889446
2,0.3,2,-4.68,31.873099715448916
2,0.2,0,-10.52,33.242640079930425
2,0.5,2,-6.1,27.613687842153013
2,0.2,1,-10.64,34.18842009548098
2,0.6,0,-6.04,26.517855311743915
2,0.2,2,-11.34,35.77598959300667
2,0.6,2,-6.98,26.472826573066413
2,0.6,1,-5.02,27.988930873572826
2,0.1,2,-8.34,40.227881886065006
2,0.1,0,-11.04,43.18480461090803
2,0.7,1,-6.5,25.9097156310454
2,0.7,0,-5.36,26.34928668756038
2,0.7,2,-5.78,26.154717344790697
2,0.8,1,-5.92,25.965371072292328
2,0.8,0,-5.18,26.431605337187648
2,0.8,2,-5.38,26.384864835999906
2,0.1,1,-7.32,45.75745628494769
2,0.9,1,-6.12,26.133852030150592
2,0.9,2,-7.06,26.667686220258474
2,0.9,0,-5.66,27.729372835718095
2,1.0,1,-7.66,27.53775231912732
2,1.0,2,-7.08,29.02959179505706
2,1.0,0,-6.48,29.285283618606627
4,0.2,1,-5.36,31.704538708552718
4,0.2,0,-4.92,33.65295850858092
4,0.3,0,-4.8,32.02338887844235
4,0.2,2,-5.0,34.3017105050385
4,0.3,1,-5.2,34.727996157482266
4,0.3,2,-5.06,34.38949350360781
4,0.4,0,-5.38,33.69102495536208
4,0.4,1,-5.2,32.88020537793636
4,0.1,0,-4.86,43.122590301558375
4,0.1,2,-5.12,43.15232610888779
4,0.1,1,-4.8,43.62586518470198
4,0.5,0,-6.14,34.59949559159577
4,0.4,2,-5.36,35.13551284559071
4,0.6,1,-8.4,34.96994430664927
4,0.5,1,-5.98,36.999118079431355
4,0.6,2,-6.64,35.774965442717075
4,0.6,0,-6.3,37.0574063686654
4,0.5,2,-6.58,38.67115607764572
4,0.7,0,-6.24,32.98912004288286
4,0.8,0,-8.5,36.15678313281387
4,0.7,1,-6.52,38.79293230827898
4,0.8,2,-6.34,36.386682006530464
4,0.8,1,-6.14,39.314386213198304
4,0.7,2,-5.5,42.047663438133895
4,0.9,0,-5.86,39.799857943318784
4,0.9,1,-6.64,39.497745676897466
4,0.9,2,-6.74,41.3822752693668
4,1.0,1,-6.98,42.45247898530215
4,1.0,0,-8.08,44.43792400415987
4,1.0,2,-7.78,43.50586288142949
8,0.2,0,-6.02,82.7500241426751
8,0.2,2,-5.04,93.02587493602186
8,0.4,0,-7.76,92.69513791240752
8,0.5,0,-7.5,88.6835518348962
8,0.3,0,-5.56,104.89175280090421
8,0.1,2,-5.44,109.01280764490366
8,0.1,0,-6.08,114.33973551541567
8,0.3,1,-7.34,108.8433078462258
8,0.2,1,-5.84,112.26350440550596
8,0.6,2,-6.12,88.22992776148021
8,0.3,2,-5.56,111.24147062469274
8,0.5,2,-6.48,95.69177251961082
8,0.4,1,-6.24,116.9237178163603
8,0.4,2,-5.74,115.89901541173458
8,0.6,0,-9.14,102.8315224358812
8,0.6,1,-7.1,105.91981487721205
8,0.1,1,-6.46,132.75700268987566
8,0.5,1,-9.02,115.89935878571123
8,0.8,0,-5.98,105.60260320454836
8,0.7,0,-13.94,119.96007034555078
8,0.8,2,-6.42,113.04610980302095
8,0.7,2,-8.78,120.02275674324483
8,0.7,1,-5.52,127.79772111121565
8,0.8,1,-7.24,126.48803690169007
8,0.9,1,-6.6,208.22646431066096
8,0.9,2,-8.66,222.15711860638112
8,0.9,0,-11.6,276.59181090723723
8,1.0,2,-5.86,281.68190190941095
8,1.0,0,-27.64,289.7790914941579
8,1.0,1,-8.4,330.3343716766685
